City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,fort mcmurray,56.7268,-111.381,18.77,45,0,2.06,CA,1723089981
349,bennett springs,-31.8581,115.9423,19.05,72,75,5.14,AU,1723089982
350,benguela,-12.5763,13.4055,19.71,85,57,3.09,AO,1723089982
351,santa cruz,-17.8,-63.1667,21.7,100,40,2.57,BO,1723089827
352,al kharijah,25.4514,30.5464,30.89,23,1,2.29,EG,1723089982
353,kapuskasing,49.4169,-82.4331,17.05,72,100,1.54,CA,1723089733
354,chonchi,-42.6128,-73.8092,3.56,97,20,0.53,CL,1723089735
355,masterton,-40.9597,175.6575,10.61,89,100,3.77,NZ,1723089978
356,lianshan,40.7643,120.8533,30.33,68,49,2.12,CN,1723089982
357,litayan,7.3358,124.0347,27.74,79,100,2.72,PH,1723089982
358,severo-yeniseyskiy,60.3725,93.0408,16.81,76,99,1.71,RU,1723089983
359,saint-philippe,-21.3585,55.7679,19.77,80,26,2.68,RE,1723089937
360,goundam,16.4145,-3.6708,30.84,60,100,10.06,ML,1723089983
361,kingscliff,-28.2667,153.5667,19.97,63,100,4.63,AU,1723089983
362,nuku'alofa,-21.1333,-175.2,22.19,73,40,6.69,TO,1723089848
